k, eps, min_factor, max_factor, error
10, 1.00, 0.93, 1.39, 0.09
10, 1.25, 1.00, 1.42, 0.00
10, 1.50, 1.07, 1.48, 0.00
10, 1.75, 1.15, 1.77, 0.00
10, 2.00, 1.21, 1.72, 0.00
25, 1.00, 1.14, 1.43, 0.00
25, 1.25, 1.26, 1.57, 0.00
25, 1.50, 1.31, 1.76, 0.00
25, 1.75, 1.45, 1.92, 0.00
25, 2.00, 1.63, 2.05, 0.00
50, 1.00, 1.32, 1.56, 0.00
50, 1.25, 1.46, 1.80, 0.00
50, 1.50, 1.61, 1.97, 0.00
50, 1.75, 1.59, 2.10, 0.00
50, 2.00, 1.94, 2.23, 0.00
