k, eps, min_factor, max_factor, error
10, 1.00, 0.92, 1.41, 0.35
10, 1.25, 0.87, 1.43, 0.26
10, 1.50, 0.89, 1.50, 0.17
10, 1.75, 0.88, 1.67, 0.16
10, 2.00, 0.91, 1.79, 0.10
25, 1.00, 0.94, 1.47, 0.06
25, 1.25, 0.95, 1.57, 0.11
25, 1.50, 0.94, 1.81, 0.04
25, 1.75, 0.99, 1.90, 0.02
25, 2.00, 0.96, 2.05, 0.02
50, 1.00, 0.95, 1.56, 0.03
50, 1.25, 0.97, 1.75, 0.02
50, 1.50, 0.97, 1.89, 0.02
50, 1.75, 1.00, 2.02, 0.01
50, 2.00, 0.99, 2.24, 0.02
