k, eps, min_factor, max_factor, error
10, 1.00, 0.89, 1.34, 0.33
10, 1.25, 0.88, 1.48, 0.28
10, 1.50, 0.88, 1.45, 0.17
10, 1.75, 0.88, 1.58, 0.17
10, 2.00, 0.91, 1.77, 0.09
25, 1.00, 0.94, 1.48, 0.13
25, 1.25, 0.98, 1.56, 0.05
25, 1.50, 0.96, 1.67, 0.03
25, 1.75, 0.95, 1.84, 0.02
25, 2.00, 1.01, 2.10, 0.00
50, 1.00, 0.97, 1.59, 0.03
50, 1.25, 0.99, 1.73, 0.03
50, 1.50, 0.99, 1.89, 0.03
50, 1.75, 1.02, 2.15, 0.00
50, 2.00, 1.00, 2.19, 0.01
