k, eps, min_factor, max_factor, error
10, 1.00, 0.92, 1.50, 0.07
10, 1.50, 1.00, 1.53, 0.00
10, 2.00, 1.13, 1.87, 0.00
25, 1.00, 1.10, 1.48, 0.00
25, 1.50, 1.30, 1.70, 0.00
25, 2.00, 1.55, 2.11, 0.00
50, 1.00, 1.32, 1.58, 0.00
50, 1.50, 1.58, 1.91, 0.00
50, 2.00, 1.91, 2.39, 0.00
