k = 10, eps = 1.50

5000 	 1.26 	 1.50
10000 	 1.19 	 1.61
15000 	 1.00 	 1.39
20000 	 0.98 	 1.37
25000 	 0.98 	 1.33
30000 	 1.00 	 1.35
35000 	 0.93 	 1.32
40000 	 0.98 	 1.35
45000 	 0.95 	 1.26
50000 	 0.95 	 1.23
55000 	 0.91 	 1.32
60000 	 0.87 	 1.39

Error percentage: 0.208333
