k, eps, min_factor, max_factor, error
10, 1.00, 0.97, 1.29, 0.06
10, 1.25, 0.97, 1.44, 0.02
10, 1.50, 1.08, 1.52, 0.00
10, 1.75, 1.10, 1.58, 0.00
10, 2.00, 1.21, 1.72, 0.00
25, 1.00, 1.14, 1.47, 0.00
25, 1.25, 1.15, 1.62, 0.00
25, 1.50, 1.35, 1.80, 0.00
25, 1.75, 1.47, 1.89, 0.00
25, 2.00, 1.50, 2.05, 0.00
50, 1.00, 1.30, 1.64, 0.00
50, 1.25, 1.44, 1.70, 0.00
50, 1.50, 1.56, 1.95, 0.00
50, 1.75, 1.75, 2.14, 0.00
50, 2.00, 1.93, 2.21, 0.00
