k, eps, min_factor, max_factor, error
10, 1.00, 0.90, 1.42, 0.11
10, 1.25, 0.88, 1.43, 0.03
10, 1.50, 1.08, 1.74, 0.00
10, 1.75, 1.11, 1.62, 0.00
10, 2.00, 1.16, 1.73, 0.00
25, 1.00, 1.10, 1.43, 0.00
25, 1.25, 1.27, 1.66, 0.00
25, 1.50, 1.33, 1.68, 0.00
25, 1.75, 1.41, 1.90, 0.00
25, 2.00, 1.56, 2.00, 0.00
50, 1.00, 1.29, 1.55, 0.00
50, 1.25, 1.45, 1.77, 0.00
50, 1.50, 1.61, 1.90, 0.00
50, 1.75, 1.75, 2.10, 0.00
50, 2.00, 1.92, 2.26, 0.00
