k, eps, min_factor, max_factor, error
10, 1.00, 0.88, 1.31, 0.30
10, 1.25, 0.86, 1.43, 0.24
10, 1.50, 0.87, 1.50, 0.19
10, 1.75, 0.90, 1.64, 0.12
10, 2.00, 0.90, 1.67, 0.04
25, 1.00, 0.93, 1.48, 0.10
25, 1.25, 0.96, 1.60, 0.05
25, 1.50, 0.94, 1.76, 0.05
25, 1.75, 0.99, 1.92, 0.01
25, 2.00, 0.97, 2.03, 0.01
50, 1.00, 0.97, 1.53, 0.06
50, 1.25, 0.98, 1.74, 0.03
50, 1.50, 0.98, 1.86, 0.03
50, 1.75, 1.00, 2.05, 0.00
50, 2.00, 0.99, 2.23, 0.01
